t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
0.0,0,0,0,81920,60.47,400.00,210,28
2.05,0,0,0,81920,60.39,400.00,210,28
4.12,0,0,0,81920,60.33,400.00,210,28
6.17,0,0,0,81920,60.39,400.00,210,28
8.22,0,0,0,81920,60.51,400.00,210,28
10.28,0,0,0,81920,60.37,400.00,210,28
12.32,0,0,0,81920,60.26,400.00,210,28
14.38,0,0,0,81920,60.59,400.00,210,28
16.43,0,0,445,81920,67.20,400.00,1155,28
18.48,0,0,4101,81920,66.54,400.00,1155,28
20.53,0,0,4959,81920,80.39,400.00,1410,29
22.58,32,4,74811,81920,90.17,400.00,1155,29
24.63,12,2,74939,81920,68.08,400.00,1155,29
26.69,0,0,75459,81920,66.87,400.00,1155,29
28.76,0,0,75459,81920,66.94,400.00,1155,28
30.81,2,1,75813,81920,280.95,400.00,1155,33
32.87,0,0,75813,81920,67.15,400.00,1155,29
34.92,100,53,75813,81920,292.00,400.00,1410,39
36.97,0,0,75813,81920,81.35,400.00,1410,31
39.02,100,55,75813,81920,296.85,400.00,1410,39
41.07,100,59,75813,81920,309.89,400.00,1410,42
43.13,100,60,75813,81920,267.41,400.00,1410,42
45.18,100,62,75813,81920,298.70,400.00,1410,43
47.23,100,65,75815,81920,294.42,400.00,1410,43
49.28,100,65,75815,81920,291.70,400.00,1410,44
51.34,100,64,75815,81920,294.11,400.00,1410,44
53.38,100,68,75815,81920,302.30,400.00,1410,45
55.43,100,67,75815,81920,297.45,400.00,1410,46
57.49,100,64,75815,81920,288.35,400.00,1410,45
59.58,100,65,75815,81920,295.35,400.00,1410,46
61.63,100,65,75815,81920,288.05,400.00,1410,46
63.69,0,0,75815,81920,82.95,400.00,1410,37
65.74,100,52,75815,81920,294.11,400.00,1410,46
67.79,100,56,75815,81920,300.48,400.00,1410,47
69.84,100,60,75815,81920,313.86,400.00,1410,48
71.9,100,61,75815,81920,314.73,400.00,1410,48
73.95,100,62,75815,81920,307.28,400.00,1410,48
76.0,100,63,75815,81920,313.09,400.00,1410,48
78.06,100,64,75815,81920,293.17,400.00,1410,47
80.11,100,66,75815,81920,302.38,400.00,1410,47
82.17,100,66,75815,81920,298.98,400.00,1410,47
84.23,100,65,75815,81920,297.48,400.00,1410,47
86.28,100,65,75815,81920,295.35,400.00,1410,47
88.34,100,66,75815,81920,295.64,400.00,1410,48
90.39,100,66,75815,81920,301.17,400.00,1410,48
92.44,71,33,75815,81920,292.30,400.00,1410,47
94.52,100,55,75815,81920,304.82,400.00,1410,49
96.57,100,59,75815,81920,317.57,400.00,1410,49
98.63,100,61,75815,81920,323.70,400.00,1410,50
100.68,99,61,75815,81920,315.52,400.00,1410,49
102.73,100,63,75815,81920,314.55,400.00,1410,49
104.79,100,66,75815,81920,305.74,400.00,1410,49
106.9,100,64,75815,81920,300.24,400.00,1410,48
108.96,100,66,75815,81920,302.03,400.00,1410,49
111.01,100,64,75815,81920,292.30,400.00,1410,48
113.06,100,63,75815,81920,289.19,400.00,1410,48
115.12,100,65,75815,81920,301.72,400.00,1410,49
117.16,100,65,75815,81920,297.46,400.00,1410,49
119.22,0,0,75815,81920,84.95,400.00,1410,40
121.27,100,52,75815,81920,309.12,400.00,1410,49
123.33,100,57,75815,81920,314.96,400.00,1410,50
125.38,100,60,75815,81920,314.55,400.00,1410,50
127.43,100,61,75815,81920,313.71,400.00,1410,50
129.49,100,62,75815,81920,309.42,400.00,1410,50
131.54,100,64,75815,81920,299.01,400.00,1410,49
133.6,100,64,75815,81920,297.16,400.00,1410,49
135.65,100,64,75815,81920,297.16,400.00,1410,49
137.71,100,67,75815,81920,302.69,400.00,1410,50
139.79,100,66,75815,81920,300.26,400.00,1410,49
141.84,100,65,75815,81920,305.10,400.00,1410,49
143.9,100,65,75815,81920,303.59,400.00,1410,49
145.94,100,65,75815,81920,297.46,400.00,1410,49
148.0,0,0,75815,81920,84.33,400.00,1410,39
150.05,100,52,75815,81920,304.22,400.00,1410,47
152.1,100,54,75815,81920,270.55,400.00,1410,47
154.16,100,53,75815,81920,263.58,400.00,1410,46
156.24,100,53,75815,81920,256.97,400.00,1410,46
158.29,100,53,75815,81920,242.94,400.00,1410,45
160.34,100,52,75815,81920,232.90,400.00,1410,45
