t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
0.0,76,2,0,81920,81.93,400.00,1410,35
2.05,0,0,0,81920,62.40,400.00,270,34
4.1,0,0,0,81920,62.30,400.00,210,33
6.15,0,0,0,81920,62.05,400.00,210,33
8.2,0,0,0,81920,61.86,400.00,210,32
10.29,0,0,0,81920,61.97,400.00,210,32
12.34,0,0,0,81920,61.66,400.00,210,32
14.39,0,0,0,81920,61.47,400.00,210,31
16.44,0,0,0,81920,61.60,400.00,210,31
18.49,0,0,4123,81920,69.29,400.00,1155,31
20.61,0,0,4197,81920,68.34,400.00,1155,31
22.73,0,0,4199,81920,67.94,400.00,1155,31
24.85,0,0,4777,81920,81.76,400.00,1410,32
26.91,0,0,72995,81920,67.87,400.00,1155,31
29.13,27,3,73203,81920,81.85,400.00,1155,32
31.19,14,2,73333,81920,70.89,400.00,1155,31
33.32,12,2,73477,81920,69.87,400.00,1155,31
35.38,6,1,73613,81920,78.16,400.00,1155,31
37.44,15,3,73819,81920,90.17,400.00,1155,31
39.5,12,3,73993,81920,78.57,400.00,1155,31
41.56,0,0,74395,81920,67.94,400.00,1155,30
43.61,0,0,74395,81920,67.66,400.00,1155,30
45.67,95,24,74395,81920,179.68,400.00,1410,33
47.74,100,30,74395,81920,180.76,400.00,1410,35
49.8,0,0,74173,81920,81.60,400.00,1410,32
51.86,0,0,74170,81920,68.34,400.00,1155,31
