t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
0.0,0,0,0,81920,88.86,400.00,1410,40
2.33,0,0,0,81920,65.75,400.00,210,38
4.42,0,0,0,81920,65.42,400.00,210,38
6.5,0,0,0,81920,65.42,400.00,210,37
8.56,0,0,0,81920,65.42,400.00,210,37
10.62,0,0,0,81920,65.14,400.00,210,37
12.68,0,0,0,81920,65.14,400.00,210,37
14.74,0,0,0,81920,65.14,400.00,210,36
16.8,6,0,983,81920,72.04,400.00,1155,37
18.86,2,0,4197,81920,72.04,400.00,1155,36
20.92,0,0,4197,81920,72.04,400.00,1155,36
23.06,0,0,4197,81920,71.76,400.00,1155,36
25.34,39,11,4777,81920,230.70,400.00,1155,39
27.47,0,0,72995,81920,71.76,400.00,1155,37
29.54,33,4,73147,81920,115.29,400.00,1155,38
31.6,18,2,73283,81920,74.13,400.00,1155,37
33.66,17,3,73383,81920,98.18,400.00,1155,37
35.74,7,1,73507,81920,71.76,400.00,1155,36
37.81,10,2,73647,81920,88.53,400.00,1155,36
39.89,13,3,73831,81920,78.13,400.00,1155,37
41.95,11,3,74009,81920,77.17,400.00,1155,36
44.02,0,0,74395,81920,72.04,400.00,1155,36
46.15,0,0,74395,81920,71.83,400.00,1155,36
48.21,100,26,74395,81920,187.38,400.00,1410,40
50.28,55,17,74395,81920,87.65,400.00,1410,38
52.35,0,0,74395,81920,71.83,400.00,1155,37
54.41,0,0,74395,81920,71.76,400.00,1155,36
56.58,0,0,74395,81920,71.76,400.00,1155,36
58.64,0,0,74395,81920,71.43,400.00,1155,36
60.71,0,0,74395,81920,71.43,400.00,1155,36
62.78,0,0,74395,81920,71.43,400.00,1155,36
64.85,0,0,74395,81920,71.43,400.00,1155,36
66.92,0,0,74395,81920,71.39,400.00,1155,36
68.98,0,0,74395,81920,71.32,400.00,1155,36
71.05,0,0,74395,81920,71.32,400.00,1155,36
73.11,0,0,74395,81920,71.32,400.00,1155,36
75.18,0,0,74395,81920,71.67,400.00,1155,36
77.31,0,0,74395,81920,71.59,400.00,1155,36
79.38,0,0,74395,81920,71.32,400.00,1155,36
81.45,0,0,74395,81920,71.39,400.00,1155,35
83.51,0,0,74395,81920,71.32,400.00,1155,35
85.58,0,0,74395,81920,71.32,400.00,1155,35
87.65,0,0,74395,81920,71.39,400.00,1155,35
89.71,0,0,74395,81920,71.39,400.00,1155,35
91.78,0,0,74395,81920,71.39,400.00,1155,35
93.84,0,0,74395,81920,71.67,400.00,1155,35
95.91,0,0,74395,81920,71.32,400.00,1155,35
97.98,0,0,74395,81920,71.39,400.00,1155,35
100.05,0,0,74395,81920,71.39,400.00,1155,35
102.11,0,0,74395,81920,71.32,400.00,1155,35
104.18,0,0,74395,81920,71.47,400.00,1155,35
106.23,0,0,74395,81920,71.59,400.00,1155,35
108.3,0,0,74395,81920,71.39,400.00,1155,35
110.37,0,0,74395,81920,71.39,400.00,1155,35
112.44,0,0,74395,81920,71.52,400.00,1155,35
114.5,0,0,74395,81920,71.32,400.00,1155,35
116.57,0,0,74395,81920,71.32,400.00,1155,35
118.63,0,0,74395,81920,71.07,400.00,1155,35
120.7,0,0,74395,81920,71.07,400.00,1155,35
122.77,0,0,74395,81920,71.00,400.00,1155,35
124.83,0,0,74395,81920,71.07,400.00,1155,35
126.9,0,0,74395,81920,71.32,400.00,1155,35
128.97,0,0,74395,81920,71.32,400.00,1155,35
131.03,0,0,74395,81920,71.07,400.00,1155,35
133.1,0,0,74395,81920,71.39,400.00,1155,35
135.16,0,0,74395,81920,71.39,400.00,1155,35
137.22,0,0,74395,81920,71.39,400.00,1155,35
139.28,0,0,74395,81920,71.39,400.00,1155,35
141.35,0,0,74395,81920,71.07,400.00,1155,35
143.42,0,0,74395,81920,71.39,400.00,1155,35
145.51,0,0,74395,81920,71.00,400.00,1155,35
147.58,0,0,74395,81920,71.07,400.00,1155,35
149.65,0,0,74395,81920,71.39,400.00,1155,35
151.71,0,0,74395,81920,71.39,400.00,1155,35
153.79,0,0,74395,81920,71.80,400.00,1155,35
155.94,0,0,74395,81920,71.25,400.00,1155,35
158.01,0,0,74395,81920,71.25,400.00,1155,35
