t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
0.0,0,0,0,81920,61.82,400.00,210,28
10.03,3,0,7209,81920,74.67,400.00,1275,28
20.05,0,0,7357,81920,73.01,400.00,1275,28
30.08,0,0,23529,81920,73.01,400.00,1275,28
40.1,100,60,23669,81920,274.01,400.00,1410,40
50.13,100,67,23669,81920,300.88,400.00,1410,44
60.16,100,49,45605,81920,370.65,400.00,1365,52
70.24,96,48,45747,81920,366.56,400.00,1410,53
80.27,100,50,45747,81920,344.23,400.00,1410,52
90.3,100,54,45777,81920,273.18,400.00,1410,49
100.33,100,64,45777,81920,303.08,400.00,1410,50
110.36,100,50,45795,81920,462.23,400.00,1395,53
120.38,100,50,45845,81920,430.83,400.00,1395,54
130.41,100,51,45845,81920,341.21,400.00,1410,55
140.44,100,50,45845,81920,321.97,400.00,1410,56
150.47,100,61,45845,81920,296.25,400.00,1410,52
160.5,100,68,45845,81920,314.67,400.00,1410,53
170.53,100,49,45845,81920,330.11,400.00,1395,58
180.55,100,50,45845,81920,336.64,400.00,1410,58
190.58,100,51,45845,81920,340.15,400.00,1410,58
200.61,100,55,45845,81920,273.72,400.00,1410,53
210.64,100,58,45845,81920,278.35,400.00,1410,52
220.66,100,50,45845,81920,374.15,400.00,1350,58
230.69,100,51,45845,81920,346.91,400.00,1410,56
240.72,96,48,45845,81920,373.91,400.00,1410,58
250.74,100,53,45845,81920,274.25,400.00,1410,53
260.77,100,64,45845,81920,308.96,400.00,1410,53
270.8,100,54,45845,81920,361.16,400.00,1410,56
280.83,98,78,45845,81920,334.73,400.00,1410,57
290.85,98,79,45851,81920,353.57,400.00,1410,58
300.88,100,50,45851,81920,338.78,400.00,1410,59
310.9,100,56,45851,81920,280.25,400.00,1410,53
320.93,100,60,45851,81920,281.83,400.00,1410,52
330.96,100,36,45851,81920,353.86,400.00,1380,60
340.99,100,51,45851,81920,365.20,400.00,1410,59
351.01,100,49,45851,81920,370.89,400.00,1410,58
361.04,100,57,45851,81920,292.45,400.00,1410,54
371.07,72,48,45851,81920,314.49,400.00,1410,54
381.09,100,54,45851,81920,460.62,400.00,1395,58
391.12,100,50,45851,81920,378.18,400.00,1410,58
401.15,98,75,45851,81920,276.00,400.00,1410,58
411.18,100,53,45851,81920,278.10,400.00,1410,53
421.2,100,61,45851,81920,293.23,400.00,1410,53
431.23,100,57,45851,81920,391.68,400.00,1395,56
441.26,98,78,45851,81920,377.02,400.00,1410,57
451.28,100,50,45851,81920,346.02,400.00,1410,58
461.31,96,48,45851,81920,380.60,400.00,1410,59
471.34,100,59,45851,81920,292.94,400.00,1410,53
481.37,100,67,45851,81920,312.39,400.00,1410,54
491.4,100,43,45851,81920,418.04,400.00,1380,59
501.43,99,60,45851,81920,453.58,400.00,1410,58
511.45,100,50,45851,81920,334.44,400.00,1410,58
521.48,100,53,45851,81920,275.08,400.00,1410,53
531.51,100,64,45851,81920,302.79,400.00,1410,54
541.54,100,50,45851,81920,368.75,400.00,1410,57
551.57,100,62,45851,81920,362.41,400.00,1410,57
561.59,100,49,45851,81920,298.73,400.00,1395,55
571.62,100,50,45851,81920,286.49,400.00,1395,57
581.65,100,56,45851,81920,287.33,400.00,1410,53
591.68,100,61,45851,81920,280.49,400.00,1410,51
